id,event_type,account_id,inbox_id,user_id,conversation_id,created_at,updated_at,instance
1666198,conversation_resolved,1,118,13,100429,2025-05-07 23:37:53.000,2025-05-07 23:37:53.000,1
1671849,conversation_resolved,2,2,1,102469,2025-02-02 17:09:37.000,2025-02-02 17:09:37.000,1
1670033,conversation_resolved,2,6,1,101823,2025-02-11 22:37:30.000,2025-02-11 22:37:30.000,1
1665259,conversation_resolved,5,117,1,100095,2025-02-01 14:50:14.000,2025-02-01 14:50:14.000,2
1667806,conversation_created,1,2,1,101014,2025-01-15 21:27:50.000,2025-01-15 21:27:50.000,2
1671638,conversation_resolved,1,118,15,102393,2025-05-23 07:11:40.000,2025-05-23 07:11:40.000,1
1676369,conversation_resolved,1,117,14,104126,2025-05-20 02:55:00.000,2025-05-20 02:55:00.000,2
1671207,conversation_assignment_changed,1,117,,102249,2025-02-12 03:42:59.000,2025-02-12 03:42:59.000,2
1665513,conversation_resolved,1,6,13,100181,2025-01-19 13:12:58.000,2025-01-19 13:12:58.000,2
1674880,conversation_opened,1,117,11,103596,2025-03-06 03:40:58.000,2025-03-06 03:40:58.000,3
1668434,conversation_resolved,5,118,1,101240,2025-01-02 10:41:26.000,2025-01-02 10:41:26.000,2
1670777,conversation_assignment_changed,1,117,12,102084,2025-05-27 07:51:32.000,2025-05-27 07:51:32.000,1
1672082,conversation_resolved,2,118,1,102556,2025-01-07 14:09:12.000,2025-01-07 14:09:12.000,1
1670520,conversation_assignment_changed,1,2,14,101986,2025-05-30 06:50:55.000,2025-05-30 06:50:55.000,2
1676941,conversation_assignment_changed,1,6,13,104335,2025-03-06 17:32:35.000,2025-03-06 17:32:35.000,2
1666981,conversation_resolved,1,2,13,100707,2025-04-05 11:59:58.000,2025-04-05 11:59:58.000,1
1674386,conversation_opened,2,6,12,103419,2025-03-27 20:56:15.000,2025-03-27 20:56:15.000,1
1670682,conversation_resolved,1,118,1,102050,2025-05-04 06:28:39.000,2025-05-04 06:28:39.000,1
1676184,conversation_resolved,5,2,14,104056,2025-02-28 20:12:57.000,2025-02-28 20:12:57.000,2
1677493,conversation_resolved,1,2,14,104543,2025-03-29 11:18:07.000,2025-03-29 11:18:07.000,1
1670337,conversation_resolved,1,6,11,101930,2025-01-11 18:07:09.000,2025-01-11 18:07:09.000,2
1671682,conversation_created,1,118,1,102407,2025-02-05 19:43:12.000,2025-02-05 19:43:12.000,3
1667475,conversation_resolved,5,118,10,100890,2025-03-15 17:20:52.000,2025-03-15 17:20:52.000,2
1669716,conversation_resolved,1,117,12,101710,2025-03-16 13:09:40.000,2025-03-16 13:09:40.000,3
1678618,conversation_resolved,1,2,10,104950,2025-05-26 07:12:53.000,2025-05-26 07:12:53.000,2
1676626,conversation_created,1,6,1,104221,2025-05-31 10:37:57.000,2025-05-31 10:37:57.000,1
1668988,conversation_resolved,5,118,1,101438,2025-03-18 14:30:04.000,2025-03-18 14:30:04.000,2
1667422,conversation_created,5,118,1,100870,2025-05-12 19:48:20.000,2025-05-12 19:48:20.000,2
1666644,conversation_resolved,2,6,10,100592,2025-03-18 10:26:43.000,2025-03-18 10:26:43.000,1
1675437,conversation_resolved,1,2,12,103790,2025-02-07 16:00:32.000,2025-02-07 16:00:32.000,3
1671712,conversation_assignment_changed,1,2,14,102416,2025-01-01 04:47:36.000,2025-01-01 04:47:36.000,3
1670498,conversation_assignment_changed,2,2,,101978,2025-01-11 14:41:57.000,2025-01-11 14:41:57.000,1
1665032,conversation_created,5,6,1,100009,2025-05-02 06:01:36.000,2025-05-02 06:01:36.000,2
1670034,conversation_opened,2,6,14,101823,2025-02-19 10:37:30.000,2025-02-19 10:37:30.000,1
1675913,conversation_resolved,1,2,1,103965,2025-02-06 01:06:05.000,2025-02-06 01:06:05.000,2
1676895,conversation_resolved,1,118,1,104319,2025-04-24 03:21:47.000,2025-04-24 03:21:47.000,2
1666669,conversation_resolved,1,6,1,100600,2025-03-30 06:34:00.000,2025-03-30 06:34:00.000,3
1676158,conversation_resolved,1,118,1,104045,2025-04-04 14:46:57.000,2025-04-04 14:46:57.000,1
1671676,conversation_created,5,2,1,102404,2025-03-01 12:45:35.000,2025-03-01 12:45:35.000,2
1676929,conversation_assignment_changed,1,117,13,104331,2025-05-09 09:31:15.000,2025-05-09 09:31:15.000,3
1678655,conversation_resolved,5,118,1,104964,2025-02-14 08:43:02.000,2025-02-14 08:43:02.000,2
1669147,conversation_resolved,1,118,1,101494,2025-02-10 13:25:37.000,2025-02-10 13:25:37.000,2
1670417,conversation_resolved,1,2,12,101956,2025-03-16 12:57:02.000,2025-03-16 12:57:02.000,1
1666635,conversation_resolved,1,118,1,100588,2025-02-11 17:39:15.000,2025-02-11 17:39:15.000,1
1677711,conversation_resolved,1,118,11,104630,2025-04-22 20:19:52.000,2025-04-22 20:19:52.000,3
1670748,conversation_resolved,2,117,1,102075,2025-02-20 05:27:02.000,2025-02-20 05:27:02.000,1
